D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_325.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_325.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_325.jpg,0,0,0,1.097643E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_395.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_395.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_395.jpg,0,0,0,3.59964E-06
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_463.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_463.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_463.jpg,0,0,0,1.746507E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_531.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_531.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_531.jpg,0,0,0,2.249052E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_600.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_600.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_600.jpg,0,0,0,1.852821E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_672.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_672.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_672.jpg,0,0,0,1.229164E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_738.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_738.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_738.jpg,0,0,0,1.287506E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_812.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_812.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_812.jpg,0,0,0,1.373723E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_887.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_887.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_887.jpg,0,0,0,1.217596E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_00_960.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_00_960.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_00_960.jpg,0,0,0,2.099006E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_027.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_027.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_027.jpg,0,0,0,2.621068E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_100.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_100.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_100.jpg,0,0,0,6.096068E-06
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_171.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_171.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_171.jpg,0,0,0,1.471326E-05
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_238.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_238.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_238.jpg,0,0,0,2.615947E-07
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_311.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_311.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_311.jpg,0,0,0,2.145613E-06
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_377.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_377.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_377.jpg,0,0,0,1.142779E-06
D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\center_2023_12_08_13_45_01_450.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\left_2023_12_08_13_45_01_450.jpg,D:\term1-simulator-windows\beta_simulator_windows\Data\IMG\right_2023_12_08_13_45_01_450.jpg,0,0,0,1.46363E-05
